GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
manager,com.heltondev.manager.service,CustomerService,246,0,10,0,57,0,17,0,12,0
manager,com.heltondev.manager.service,JwtService,82,0,2,0,18,0,6,0,5,0
manager,com.heltondev.manager.service,UserService,258,0,24,0,54,0,23,0,11,0
manager,com.heltondev.manager,ManagerApplication,8,0,0,0,3,0,2,0,2,0
manager,com.heltondev.manager.controller,JwtController,16,0,0,0,3,0,3,0,3,0
manager,com.heltondev.manager.controller,UserController,34,0,0,0,7,0,7,0,7,0
manager,com.heltondev.manager.controller,CustomerController,45,0,0,0,9,0,9,0,9,0
manager,com.heltondev.manager.model,Customer,423,0,78,0,28,0,62,0,23,0
manager,com.heltondev.manager.model,Jwt.JwtResponseBuilder,74,0,14,0,2,0,13,0,6,0
manager,com.heltondev.manager.model,User,286,0,48,0,21,0,43,0,19,0
manager,com.heltondev.manager.model,Jwt.JwtRequestBuilder,135,0,26,0,7,0,22,0,9,0
manager,com.heltondev.manager.model,Jwt,3,0,0,0,1,0,1,0,1,0
manager,com.heltondev.manager.config,JwtTokenUtil,171,0,18,0,17,0,25,0,16,0
manager,com.heltondev.manager.config,AppConfig,42,0,0,0,5,0,2,0,2,0
manager,com.heltondev.manager.config,JwtAuthenticationEntryPoint,12,0,0,0,4,0,3,0,3,0
manager,com.heltondev.manager.config,JwtRequestFilter,85,0,10,0,24,0,8,0,3,0
manager,com.heltondev.manager.config,WebSecurityConfig,59,0,0,0,13,0,6,0,6,0
